Duygu,Yorum
0,kara cuma teknosa almayin sirketten sey
1,hayirli olsun
0,yani yil garanti hikaye aldigin urun bozuldumu elin cebine gidecek musterinin dedigi kimin umurunda
0,sahtekar teknosa telefon aldim dogduguna pisman ettiniz beni
1,gidin vatandan alin taksit faiz orani
0,internetten kasimda micro kart siparis verdim gun oldu halen kargoya verilmek uzere hazirlaniyor diyor baska sitelerden aliyorum gec gunde adrese geliyor neyse son olacak daha asla
1,goruntu guzel
0,teknosa sosyal medya calisanlari selamlar olsun oldu isim soyisim telefon numarasi istediniz nerdesin ben burdayim
1,bu kara beyaz yapiyor ali expres daha ucuz almak isteyene
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,kanka akil olan almaz fiyata monsterin saglam kasasini alirim
1,gelsinde lira bayiliyalim diyodum bende
1,teknosa veya vatan gibi yerlerden bulabilirsiniz ama tavsiyem eger sorunu yoksa dolum yapmaniz fazla cikti aliyorsaniz lazer yazici almanizi tavsiye ederim ama almadan once bana sorun maliyet cikartayim uygun modelleri diyeyim oyle gidin alin yaziciyi almakla bitmez sonrasinda toner maliyetine dikkat etmeli
1,hastasiyim telefonun yarin alacagim nasipse
0,bugun sonra asla alis veris yapmam tavsiyede etmem dogru ise eger yaziklar olsun
0,o kadar boktan internet sayfasi yapmissiniz dakikada cokmesinden dolayi almak istedigim seyi saatte alabildim aldiktan dakika sonra ise parami iade edip urunumu iptal ettiniz sirf sizden almamak icin kurus fazla verip baska siteden aldim daha teknosadan bisey almam yazik
0,mubarek cuma diyeceksiniz teknosa yoksa magazalari basiniza yikar geri zekali
0,yavsaklar kara cumada neyin nesi
0,cop indirim falan yok girin bakin teknosa sitesine kazik fiyatlar devam ediyor indirim yerine bindirim yapmis teknosa butun siteler turkiyedeki firmalar gozlu halkin sanki parasini agactan topladigini saniyorlar acgozlu firmalar batacak sonra battik diyecekler
0,siteniz calismiyor
0,ne alacam dandik alana gerizekali derim israf verilen para
0,neyin kafasindasiniz devlet vergi koyuyo diye bukadar pahali zaten
0,soguk havalarda ekrani donuyo calismiyo
1,yeni islemci k videolari artik saniyede kare cekebilmesi fps agir cekim videolar olusturmak mumkun ayrica artik cekimde saniyede kare cekimdeyse saniyede kare yakalanabilecek ghz kullanan urun gelistirilmis dijital goruntu sabitleme hero kiyaslandiginda artik dusuk isik kosullarinda daha fazla performans tum kosullarda daha iyi goruntu kalitesi vadediliyor stabilizasyon iyi video cekiminde titresim yok olmus sanki gimbal cekim yapmis gibisi oluyorsun eger maddi durumun iyise hero tavsiye ederim
1,merhaba sercan birkalir konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,siz siz olun teknosada kasko garanti urunlerine girmeyin elimde kaskolu garantili telefon kaldi heleki fiyatini hic sormayin
0,shpssssss shopppssssss
1,erkin ozey ferhat akbiyik siparis veriyor muyuz
0,telefon ekrani soguk havada calismiyormus
1,tlfn guzel ama para vermeye gerek yok sonucta alo diyosan sorun yok sene omru oluyo hem tlfnlarin
1,tartisilmaz tek lider
1,ne pahalisi sudan ucuz
0,telefonu tamire gonderdik sarz aleti gelmedi neye yardimci olacan biz gonderdik dediler
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,allah belanizi versin senedir parami iyade etmediler telefon satarken kirk laf dokuyonuz alirken ilgilenmiyonuz insallah batar hic bisey almayin bunlarin suslu laflarina kanmayin adiler
0,bilgilerimi paylastim ama arayan var nede soran sadece buraya yazmayla olmuyor
0,bundan sonra teknosadan bisey almam
0,su altinda cekim yapmiyorsa alinmaz paraya
0,cumartesi siparis verdik hala kargoya verilmedi baska siteler daha duzenli calisiyor ertesi gun kargo geliyor
0,daha alamadik bakiyoz araba parasi vardir heralde ben note kullaniyorum daha cikmadan note cikti ben soklarda teknoloji ucuyo
0,buna kadar para vericeme xiaomi alirim
0,o dir plus degil
0,preo aldik ariza yapti diye calisan telefonu servise gonderdik anakart arizasi dediler birde dusmeye kaynakli dediler tamir parasi ntl istediler yaptiramadim telefon geldi hic acilmiyor calismiyor
0,imis
0,abi patliyomus nolacak
1,kullaniyoruz iste miss
1,teknosa teknosayi seviyorum
0,merhaba konuyla ilgili bilgi almak icin musteri hizmetleri numaramizdan bizimle iletisime gecebilirsiniz ilginize tesekkur ederiz
1,sony tek tercihim
1,sony gormek istiyoruz
0,hp laptop lara bakarmi sin
1,acer marka diz ustu bilgisayar nekadar acaba
1,ben teknosadan casper gold aldim gayet iyi guzel
1,tesekkurler
0,xz premium sonra cikmisti
1,telefonlar guzel
1,telefon kulakliklar kac para
0,teknosa pismanliktir insanlari magdur eden kurum
1,en sorunsuz cihazlari teknosa satiyor
1,bence musteri memnuniyetini onemseyen magazadir basarilarin devamini beklerim tabii indirimlerinde
0,serkan ciksin alacam fiyati ortada yok amk
1,fiyati belli olacakmi siparisin
0,x nezaman gelecek
0,aldigim telefon arizali cikti hafta sonra afyonkarahisar park afyon magazasi degisim yapti tesekkur ederim
1,fiyat nedir
0,teknosayi kalite bilirdim malesef elemanlari iyi yetistirmekte zayif kalmis musteri nasil davranilacagini ogretmemis musteri hizmetlerini aradim fakat muhatap bulamadim sacma sapan yok sunu tusla yok bunu tusla burdan yaziyorum izmir aliaga subesindeki calisanlari egitimden gecirin tek kelimeyle berbat
1,pesin fiyatina kadar
0,fiyati kadar onuda soylesenize
0,bi dahami teknosadan telefon almak son olsun
0,gecen hafta siparis verdigim elektrik supurgesini elinizde kalmadi diye gondermediniz ayni supurgeyi aksam tekrardan satisa sundunuz yaziklar olsun sizlere sirf kdv artisindan dolayi yaptiniz cakalligi
1,hayirli huzurlu bereketli cumalar olsun
0,sizler varsiniz diye izliyorum teknosa pahali kolay gelsin
1,merhaba
0,yorum nasil dusmuyo la
0,guncel yeni cikan bise varmi hep ayni stoklari degistirsin
0,teknosa eskiden bilesenleri oem urunleri satardi teknosaya girdigimde hic keyif alamiyorum
1,hahaha konik laaan
1,suya dusse sorun yok
0,preo aldik telefon donuyor birisi aradiginda ulasamiyor kapaniyor konusurken haporler geciyor servise yolladik baskiya maruz kalmis anakart deisecekmis istiyorlar bunu garanti
0,aig numarasimi degismis ulasamiyorum yardimci olurmusunuz
1,cocuklari dogayla ice edeceginize tablet bilgisayarlarami surukluyonuz bizim cocukluk iyi gecmis zaman dogayla beraberdik
0,vallahi billahi teknosanin onunden gecmiyom aldigim telefon klonlu cikti tlf degistirmediler kendileri bilir bize magaza
1,masallah cennet bulbulune
1,arkadas ben tlf aldim teknosa musterisiyim gayet memnunum hata almayi plan liyorum
0,kesinlikle teknosadan akli olan urun almaz dun agzim yandi daha asla olursa olsun kucuk nesne bile alinmaz
0,teknosadan aldigim telefon sonra gelen mesaj uzerine kapandi magazaya goturdum kopyalanmis dendi imei numarasi daha aylik telefon degisim yapmadilar mal elimizde kaldi akliniz varsa teknosadan iceri dahi girmeyin
0,hatti takmamis olmaniz gerekiyor diyo
1,illa aramak gerekiyor yahu basit soru degil d
1,merhaba konuyla ilgili bilgi almak icin teknoasist merkezi iletisime gecebilirsiniz ilginize tesekkur ederiz
0,hey teknosa come gist
0,piyasada teknosada
1,milattan once var kaldiramadigi oyun yok cekirdek
1,allah bagislasin
1,preo uygun fiyatta alina bilecek kaliteli urunleri yapar kalitesi teknosa guvencesinde
0,yalan hersey yalannn
0,hic sey alinmazz
1,d
1,tesekkurler kolay gelsin iyi yayinlar
1,abi ipad varmi
1,ne esya getirmisler
1,gamer mause fiyati uygunmus
0,ahh ahh hayaller ayphone gercekler ayphone
0,allah askina abartmayin telefonu
1,nerde
0,sevmedim
0,max daha guzel bence bunlara servet odemeyin arkadaslar
0,bedava verseler almam
0,turkiye fiyati belli degilse almam abi ben
1,farki nedir
1,dolar fiyati
1,ince uclu sarj aleti varmi
1,kolay gelsin
1,cihazi taniyalim
1,bende kanka
0,bin lira guzel para kanka
1,bizim iphonekara ios zaman gelicek gunvelleme
0,bu kadar kisa surede neden cikariyorlar
